,pair,clean,raw,name_type
28042,"[[Ezra Carter, b. 1773|Carters]]","Ezra Carter, b. 1773",Carters,place
28043,"[[Asahel Hart Woodruff, b. 1814|Asahel Woodruff]]","Asahel Hart Woodruff, b. 1814",Asahel Woodruff,place
28044,"[[Farmington, Hartford County, Connecticut|Farmington]]","Farmington, Hartford County, Connecticut",Farmington,place
28045,"[[Saco, York County, Maine|Saco]] & spent the day at Mr [[Luther Scammans|Luther Scamman's]]","Saco, York County, Maine",Saco]] & spent the day at Mr [[Luther Scamma,place
28053,"[[North Fox Island, Knox County, Maine|north Island]] & walked to the house of Br [[Justus Ames|Ames]]","North Fox Island, Knox County, Maine",north Island]] & walked to the house of Br [[Justus Am,place
28055,"[[Camden, Knox County, Maine|Camden]] & the other from Elder [[Joseph T. Ball|Ball]] in [[Holliston, Middlesex County, Massachusetts|Holiston]]","Camden, Knox County, Maine",Camden]] & the other from Elder [[Joseph T. Ba,place
28061,"[[Camden, Knox County, Maine|Camden]] that she might there take the steem boat Bangor to [[Portland, Cumberland County, Maine|Portland]]","Camden, Knox County, Maine","Camden]] that she might there take the steem boat Bangor to [[Portland, Cumberland County, Mai",place
28066,"[[New Rowley, Essex County, Massachusetts|New Rowley]]","New Rowley, Essex County, Massachusetts",New Rowley,place
28068,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
28070,"[[John Smith, Maine|John Smiths]] & crossed to the neck on the [[South Fox Island, Knox County, Maine|South Island]]","John Smith, Maine","John Smiths]] & crossed to the neck on the [[South Fox Island, Knox County, Mai",place
28076,"[[North Fox Island, Knox County, Maine|North fox Island]] branch containing 25 members in good standing also 3 members in [[Camden, Knox County, Maine|Camden]]. Elder [[Milton Holmes|M Holmes]]","North Fox Island, Knox County, Maine","North fox Island]] branch containing 25 members in good standing also 3 members in [[Camden, Knox County, Mai",place
28077,"[[New Rowley, Essex County, Massachusetts|New Rowley]]","New Rowley, Essex County, Massachusetts",New Rowley,place
28086,"[[South Fox Island, Knox County, Maine|south Island]]","South Fox Island, Knox County, Maine",south Island,place
28089,"[[Scarborough, Cumberland County, Maine|Scarborough]]","Scarborough, Cumberland County, Maine",Scarborough,place
28106,"[[Fox Islands, Knox County, Maine|fox Islands]]","Fox Islands, Knox County, Maine",fox Islands,place
28109,"[[Vinalhaven, Knox County, Maine|Vinalhaven]]","Vinalhaven, Knox County, Maine",Vinalhaven,place
28122,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
28125,"[[John Smith, Maine|John Smith]] from thence to Br [[Justus Ames|Ames]]","John Smith, Maine",John Smith]] from thence to Br [[Justus Am,place
28127,"[[Scarborough, Cumberland County, Maine|Scarborough]]","Scarborough, Cumberland County, Maine",Scarborough,place
28141,"[[Boston, Suffolk County, Massachusetts|Boston]]","Boston, Suffolk County, Massachusetts",Boston,place
28150,"[[Castine, Hancock County, Maine|Castene]] & took passage on board the Two friends with Capt [[Jonathan Carleton|Carlton]]","Castine, Hancock County, Maine",Castene]] & took passage on board the Two friends with Capt [[Jonathan Carlet,place
28152,"[[Isle au Haut, Waldo County, Maine|Isl of Holt]]","Isle au Haut, Waldo County, Maine",Isl of Holt,place
28156,"[[Asahel Hart Woodruff, b. 1814|Asahel]] [[Indiana|In]] & two from Elder [[Milton Holmes|Milton Holmes]] in [[Massachusetts|Mass]] & the last from Elder [[Beri Lewis Robbins|Robbins]] from [[Kirtland, Geauga County, Ohio|Kirtland]]","Asahel Hart Woodruff, b. 1814",Asahel]] [[India,place
28160,"[[Asahel Hart Woodruff, b. 1814|Asahel H. Woodruff]] & the other to sister [[Sarah Brackett Carter Foss|Sarah B. Foss]]","Asahel Hart Woodruff, b. 1814",Asahel H. Woodruff]] & the other to sister [[Sarah Brackett Carter Fo,place
28163,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
28165,"[[Belfast, Antrim County, Ireland|Belfast]] to [[Northport, Waldo County, Maine|Northport]] and was kindly entertained at Mr [[Benjamin Stephens|Benjamin Stephens]]","Belfast, Antrim County, Ireland","Belfast]] to [[Northport, Waldo County, Mai",place
28169,"[[Northport, Waldo County, Maine|Northport]] in good feelings & spirit, & walked to [[Belfast, Antrim County, Ireland|Belfast]] from thence to [[Frankfort, Waldo County, Maine|Frankfort]]","Northport, Waldo County, Maine","Northport]] in good feelings & spirit, & walked to [[Belfast, Antrim County, Irela",place
28172,"[[Hampden, Penobscot County, Maine|Hampden]] attended a protracted meeting of the Baptist. We spent the night with Mr [[Elisha Grant|Elisha Grant]]","Hampden, Penobscot County, Maine",Hampden]] attended a protracted meeting of the Baptist. We spent the night with Mr [[Elisha Gra,place
28174,"[[Hampden, Penobscot County, Maine|Hampden]] and walked to the city of [[Bangor, Penobscot County, Maine|Bangor]]","Hampden, Penobscot County, Maine","Hampden]] and walked to the city of [[Bangor, Penobscot County, Mai",place
28176,"[[Bangor, Penobscot County, Maine|Bangor]]","Bangor, Penobscot County, Maine",Bangor,place
28177,"[[Hampden, Penobscot County, Maine|Hamden]]","Hampden, Penobscot County, Maine",Hamden,place
28181,"[[Little Garway, Herefordshire, England|little garway]]","Little Garway, Herefordshire, England",little garway,place
28187,"[[Bristol, Gloucestershire, England|Bristol]]","Bristol, Gloucestershire, England",Bristol,place
28188,"[[Chepstow, Monmouthshire, Wales|Cheapstow]]","Chepstow, Monmouthshire, Wales",Cheapstow,place
28189,"[[Monmouth, Monmouthshire, Wales|Monmouth]]","Monmouth, Monmouthshire, Wales",Monmouth,place
28190,"[[River Wye, Monmouthshire, Wales|River Y]]","River Wye, Monmouthshire, Wales",River Y,place
28192,"[[Bristol, Gloucestershire, England|Bristol]]","Bristol, Gloucestershire, England",Bristol,place
28196,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
28198,"[[Bristol, Gloucestershire, England|Bristol]]","Bristol, Gloucestershire, England",Bristol,place
28203,"[[River Avon, Bristol, Gloucestershire, England|River Avon]]","River Avon, Bristol, Gloucestershire, England",River Avon,place
28204,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28205,"[[Manchester, Lancashire, England|Manchester]]","Manchester, Lancashire, England",Manchester,place
28208,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28211,"[[Manchester, Lancashire, England|Manchester]]","Manchester, Lancashire, England",Manchester,place
28213,"[[Bristol, Gloucestershire, England|Bristol]], & took my farewell of [[London, Middlesex, England|London]]","Bristol, Gloucestershire, England","Bristol]], & took my farewell of [[London, Middlesex, Engla",place
28214,"[[Bath, Somerset, England|Bath]]","Bath, Somerset, England",Bath,place
28224,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28231,"[[Ezra Carter, b. 1773|Carter]], [[Freedom Moulton|Freedom Molton]], Phebe, [[Wilford Woodruff Jr.|Willford Owen]] [[Shuah Coffin Carter Moulton|Shuah]]","Ezra Carter, b. 1773","Carter]], [[Freedom Moult",place
28233,"[[Aphek Woodruff, b. 1778|Father]] [[Beulah Thompson Woodruff, b. 1782|Mother]]","Aphek Woodruff, b. 1778","Father]] [[Beulah Thompson Woodruff, b. 17",place
28238,"[[Tabernacle Square, London, Middlesex, England|Tabernacle Square]]","Tabernacle Square, London, Middlesex, England",Tabernacle Square,place
28240,"[[Manchester, Lancashire, England|Manchester]]","Manchester, Lancashire, England",Manchester,place
28241,"[[London, Middlesex, England|London]] by [FIGURE] [[Heber Chase Kimball|H C. Kimball]]","London, Middlesex, England",London]] by [FIGURE] [[Heber Chase Kimba,place
28243,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28245,"[[Liverpool, Lancashire, England|Liverpool]] for [[New York City, New York County, New York|New York]]","Liverpool, Lancashire, England","Liverpool]] for [[New York City, New York County, New Yo",place
28247,"[[Bristol, Gloucestershire, England|Bristol]]","Bristol, Gloucestershire, England",Bristol,place
28262,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28265,"[[Bedford, Bedfordshire, England|Bedford]]","Bedford, Bedfordshire, England",Bedford,place
28269,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28272,"[[London, Middlesex, England|LONDON]]","London, Middlesex, England",LONDON,place
28277,"[[Bedford, Bedfordshire, England|Bedford]]","Bedford, Bedfordshire, England",Bedford,place
28278,"[[Ipswich, Suffolk, England|Ipswich]]","Ipswich, Suffolk, England",Ipswich,place
28279,"[[Woolwich, Kent, England|Woolwich]] Represented by [[John Griffiths|John Griffith]]","Woolwich, Kent, England",Woolwich]] Represented by [[John Griffit,place
28282,"[[William Smith, England|Wm Smith]]","William Smith, England",Wm Smith,place
28284,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
28287,"[[Tabernacle Square, London, Middlesex, England|Tabernacle Square]]","Tabernacle Square, London, Middlesex, England",Tabernacle Square,place
28288,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28291,"[[Lake Erie, United States|lake Erie]] in 1837 during the troubles in [[Canada, British North America|Canida]]","Lake Erie, United States","lake Erie]] in 1837 during the troubles in [[Canada, British North Ameri",place
28293,"[[Washington, D.C., United States|washington]]","Washington, D.C., United States",washington,place
28298,"[[Clitheroe, Lancashire, England|Clithero]]","Clitheroe, Lancashire, England",Clithero,place
28300,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28303,"[[Birmingham, Warwickshire, England|Birmingham]]","Birmingham, Warwickshire, England",Birmingham,place
28304,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28311,"[[Woolwich, Kent, England|Woolwich]]. I received a letter from Br [[George Albert Smith|S^m^ith]]","Woolwich, Kent, England",Woolwich]]. I received a letter from Br [[George Albert Smi,place
28315,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28316,"[[Montrose, Angus, Scotland|Montrose]]","Montrose, Angus, Scotland",Montrose,place
28325,"[[Woolwich, Kent, England|woolwich]]","Woolwich, Kent, England",woolwich,place
28326,"[[London Bridge, London, Middlesex, England|London Bridge]] on the [[River Thames, England|Thames]]","London Bridge, London, Middlesex, England","London Bridge]] on the [[River Thames, Engla",place
28332,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
28337,"[[London Bridge, London, Middlesex, England|London Bridge]] & took the rail road, & rode to [[Deptford, London, Middlesex, England|Deptford]]","London Bridge, London, Middlesex, England","London Bridge]] & took the rail road, & rode to [[Deptford, London, Middlesex, Engla",place
28338,"[[Greenwich, Kent, England|Greenwich]]","Greenwich, Kent, England",Greenwich,place
28339,"[[River Thames, England|Thames]]","River Thames, England",Thames,place
28340,"[[Woolwich, Kent, England|Woolwich, London, England]]","Woolwich, Kent, England","Woolwich, London, England",place
28343,"[[Woolwich, Kent, England|Woolwich]]","Woolwich, Kent, England",Woolwich,place
28344,"[[Royal Artillery Barracks, Woolwich, Kent, England|Artillary & Marin Barracks]]","Royal Artillery Barracks, Woolwich, Kent, England",Artillary & Marin Barracks,place
28350,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28352,"[[Bristol, Gloucestershire, England|Bristol]]","Bristol, Gloucestershire, England",Bristol,place
28354,"[[Sherwood Forest, Nottinghamshire, England|Robinghood forest]]","Sherwood Forest, Nottinghamshire, England",Robinghood forest,place
28365,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28367,"[[Blood River, Calloway County, Kentucky|Bloody]]","Blood River, Calloway County, Kentucky",Bloody,place
28373,"[[Blood River, Calloway County, Kentucky|Bloody River]]","Blood River, Calloway County, Kentucky",Bloody River,place
28378,"[[Concord, Lewis County, Kentucky|Concord]] then returned to Br [[Levi Taylor|Taylors]]","Concord, Lewis County, Kentucky",Concord]] then returned to Br [[Levi Tayl,place
28386,"[[Eagle Creek, Benton County, Tennessee|Egle Creek]]","Eagle Creek, Benton County, Tennessee",Egle Creek,place
28393,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28402,"[[Eagle Creek, Benton County, Tennessee|Egle Creek]]","Eagle Creek, Benton County, Tennessee",Egle Creek,place
28411,"[[Reynoldsburgh, Humphreys County, Tennessee|Reynoldsburgh]]","Reynoldsburgh, Humphreys County, Tennessee",Reynoldsburgh,place
28420,"[[Samuel Roberts, Tennessee|Samuel Roberts]]","Samuel Roberts, Tennessee",Samuel Roberts,place
28426,"[[Blood River, Henry County, Tennessee|Bloody]] & Rode to Mr [[Mr. Butterworth|Butterworths]]","Blood River, Henry County, Tennessee",Bloody]] & Rode to Mr [[Mr. Butterwor,place
28431,"[[Kirtland, Geauga County, Ohio|Kirtland]] I ordained Br [[Benjamin Lynn Clapp|Benjamin Clap]]","Kirtland, Geauga County, Ohio",Kirtland]] I ordained Br [[Benjamin Lynn Cla,place
28434,"[[Clarks River, Calloway County, Kentucky|Clarks River]] & Prached at Mr [[Daniel Stillwell Thomas|Thomas'es]]","Clarks River, Calloway County, Kentucky",Clarks River]] & Prached at Mr [[Daniel Stillwell Thom,place
28436,"[[Concord, Lewis County, Kentucky|Concord]] then to Br [[Levi Taylor|Taylors]]","Concord, Lewis County, Kentucky",Concord]] then to Br [[Levi Tayl,place
28439,"[[Sandy River, Kentucky|Sandy]]","Sandy River, Kentucky",Sandy,place
28441,"[[Eagle Creek, Benton County, Tennessee|Eagle Creek]]","Eagle Creek, Benton County, Tennessee",Eagle Creek,place
28442,"[[Humphreys County, Tennessee|HUMPHREYS COUNTY]]","Humphreys County, Tennessee",HUMPHREYS COUNTY,place
28446,"[[John Walker, Tennessee|Walkers]]","John Walker, Tennessee",Walkers,place
28447,"[[John Walker, Tennessee|John Walkers]] on [[Morgan Creek, Hickman County, Tennessee|Morgans Creek]]","John Walker, Tennessee","John Walkers]] on [[Morgan Creek, Hickman County, Tenness",place
28451,"[[Chalk Level, Benton County, Tennessee|Chalk Level]] branch Br [[Warren Farr Parrish|Parrish]]","Chalk Level, Benton County, Tennessee",Chalk Level]] branch Br [[Warren Farr Parri,place
28454,"[[Tennessee River, United States|Tenn River]][.] past through [[Reynoldsburgh, Humphreys County, Tennessee|Reynoldsburgh]]","Tennessee River, United States","Tenn River]][.] past through [[Reynoldsburgh, Humphreys County, Tenness",place
28464,"[[Jackson County, Missouri|Jackson County]]","Jackson County, Missouri",Jackson County,place
28466,"[[Azmon Woodruff, b. 1802|Azmon Woodruff]]","Azmon Woodruff, b. 1802",Azmon Woodruff,place
28467,"[[Oswego County, New York|Oswego Co]]","Oswego County, New York",Oswego Co,place
28468,"[[Richland, Oswego County, New York|Richland]] Oswego Co. NY to [[Kirtland, Geauga County, Ohio|Kirtland Ohio]]","Richland, Oswego County, New York","Richland]] Oswego Co. NY to [[Kirtland, Geauga County, Oh",place
28469,"[[Liberty, Clay County, Missouri|Liberty Missouri]]","Liberty, Clay County, Missouri",Liberty Missouri,place
28486,"[[Eagle Creek, Benton County, Tennessee|Egle Creek]]","Eagle Creek, Benton County, Tennessee",Egle Creek,place
28489,"[[Kirtland, Geauga County, Ohio|kitland]]","Kirtland, Geauga County, Ohio",kitland,place
28492,"[[Eagle Creek, Benton County, Tennessee|Egle Creek]]","Eagle Creek, Benton County, Tennessee",Egle Creek,place
28498,"[[Eagle Creek, Benton County, Tennessee|Egle Creek]]","Eagle Creek, Benton County, Tennessee",Egle Creek,place
28499,"[[Eagle Creek, Benton County, Tennessee|Egle Creek]]","Eagle Creek, Benton County, Tennessee",Egle Creek,place
28500,"[[Eagle Creek, Benton County, Tennessee|E Creek]]","Eagle Creek, Benton County, Tennessee",E Creek,place
28512,"[[Concord, Lewis County, Kentucky|Concord]] call'd on Doct [[Richard B. Clausell|R B Clausell]]","Concord, Lewis County, Kentucky",Concord]] call'd on Doct [[Richard B. Clause,place
28518,"[[Graves County, Kentucky|Graves County KY]]","Graves County, Kentucky",Graves County KY,place
28520,"[[Blood River, Calloway County, Kentucky|Bloody]] from thence to [[Solomon Copeland|Col Copelands]]","Blood River, Calloway County, Kentucky",Bloody]] from thence to [[Solomon Copela,place
28521,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28528,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28530,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28548,"[[Reynoldsburgh, Humphreys County, Tennessee|Reynoldsburgh]]","Reynoldsburgh, Humphreys County, Tennessee",Reynoldsburgh,place
28549,"[[Tennessee River, United States|Tennessee River]]","Tennessee River, United States",Tennessee River,place
28551,"[[Tennessee River, United States|Tennessee River]] to [[Samuel Walker West|Br West]]","Tennessee River, United States",Tennessee River]] to [[Samuel Walker We,place
28554,"[[Chalk Level, Benton County, Tennessee|Chalk Level, Hawkins County, Tennessee]]","Chalk Level, Benton County, Tennessee","Chalk Level, Hawkins County, Tennessee",place
28556,"[[Eagle Creek, Benton County, Tennessee|Ea[gle] Creek]]","Eagle Creek, Benton County, Tennessee",Ea[gle] Creek,place
28565,"[[Ozem Woodruff, b. 1787|Ozem Woodruff]]","Ozem Woodruff, b. 1787",Ozem Woodruff,place
28566,"[[Avon, Hartford County, Connecticut|Avon, Con.]] Spent the night at Br [[John Caswell Matlock|Medlocks]]","Avon, Hartford County, Connecticut","Avon, Con.]] Spent the night at Br [[John Caswell Matlo",place
28569,"[[Morgan Creek, Hickman County, Tennessee|Morgans Creek]]","Morgan Creek, Hickman County, Tennessee",Morgans Creek,place
28579,"[[Henry County, Tennessee|Henry County]]","Henry County, Tennessee",Henry County,place
28584,"[[Calloway County, Kentucky|Calloway Co]]","Calloway County, Kentucky",Calloway Co,place
28589,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28590,"[[Paris, Henry County, Tennessee|Paris]]","Paris, Henry County, Tennessee",Paris,place
28593,"[[Chalk Level, Benton County, Tennessee|Chalk Level]][.] preach at his house [[Warren Farr Parrish|Br Parish]]","Chalk Level, Benton County, Tennessee",Chalk Level]][.] preach at his house [[Warren Farr Parri,place
28594,"[[Henry County, Tennessee|Hy County]]","Henry County, Tennessee",Hy County,place
28596,"[[Eagle Creek, Benton County, Tennessee|Eagle Creek]]","Eagle Creek, Benton County, Tennessee",Eagle Creek,place
28602,"[[Paris, Henry County, Tennessee|paris]] to Mr [[John Hartfield|John Hartfield]]","Paris, Henry County, Tennessee",paris]] to Mr [[John Hartfie,place
28611,"[[Raleigh, Shelby County, Tennessee|Raleigh]] from thence to Mr [[John A. Logwood|John A Logwood]]","Raleigh, Shelby County, Tennessee",Raleigh]] from thence to Mr [[John A. Logwo,place
28612,"[[Fayette County, Tennessee|Fayette Co.]]","Fayette County, Tennessee",Fayette Co.,place
28614,"[[Bolivar, Hardeman County, Tennessee|Bolivar]]","Bolivar, Hardeman County, Tennessee",Bolivar,place
28616,"[[Hardeman County, Tennessee|Hardamand Co.]]","Hardeman County, Tennessee",Hardamand Co.,place
28620,"[[Henderson County, Tennessee|Henderson Co]]","Henderson County, Tennessee",Henderson Co,place
28622,"[[Lexington, Henderson County, Tennessee|Lexington]] and [[Maple Springs, Henderson County, Tennessee|Maple Springs]]","Lexington, Henderson County, Tennessee","Lexington]] and [[Maple Springs, Henderson County, Tenness",place
28623,"[[William Morris, Tennessee|Wm Morris]] [[Carroll County, Tennessee|Carrel County]]","William Morris, Tennessee","Wm Morris]] [[Carroll County, Tenness",place
28624,"[[William Morris, Tennessee|Morris]]","William Morris, Tennessee",Morris,place
28631,"[[Saint Francis County, Arkansas Territory|St Francis County]]","Saint Francis County, Arkansas Territory",St Francis County,place
28633,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
28636,"[[Crittenden County, Arkansas Territory|Critentan Co.]]","Crittenden County, Arkansas Territory",Critentan Co.,place
28637,"[[Saint Francis River, Arkansas Territory|St. Francis River]]","Saint Francis River, Arkansas Territory",St. Francis River,place
28641,"[[Memphis, Shelby County, Tennessee|Memphis]] State of [[Tennessee|Tennessee]]","Memphis, Shelby County, Tennessee",Memphis]] State of [[Tenness,place
28644,"[[Arkansas River, United States|River]] to the [[Cadron Creek, Arkansas Territory|Cadron]]","Arkansas River, United States","River]] to the [[Cadron Creek, Arkansas Territo",place
28645,"[[Conway County, Arkansas Territory|Conway Co.]]","Conway County, Arkansas Territory",Conway Co.,place
28646,"[[Cadron Creek, Arkansas Territory|Cadron]]","Cadron Creek, Arkansas Territory",Cadron,place
28649,"[[Arkansas River, United States|River]]","Arkansas River, United States",River,place
28653,"[[Arkansas River, United States|River]]","Arkansas River, United States",River,place
28654,"[[Memphis, Shelby County, Tennessee|Memphis]] to [[Little Rock, Pulaski County, Arkansas Territory|Little Rock]]","Memphis, Shelby County, Tennessee","Memphis]] to [[Little Rock, Pulaski County, Arkansas Territo",place
28657,"[[Monroe County, Arkansas Territory|Monroe Co.]]","Monroe County, Arkansas Territory",Monroe Co.,place
28659,"[[Monroe County, Arkansas Territory|Monroe Co.]]","Monroe County, Arkansas Territory",Monroe Co.,place
28661,"[[Arkansas River, United States|Arkansaw]]","Arkansas River, United States",Arkansaw,place
28664,"[[Lake Dardanelle, Dardanelle, Yell County, Arkansas Territory|Dardunell]]","Lake Dardanelle, Dardanelle, Yell County, Arkansas Territory",Dardunell,place
28666,"[[Arkansas River, United States|river]]","Arkansas River, United States",river,place
28674,"[[Petit Jean Mountain, Conway County, Arkansas Territory|Petty John]]","Petit Jean Mountain, Conway County, Arkansas Territory",Petty John,place
28676,"[[Arkansas River, United States|River]]","Arkansas River, United States",River,place
28679,"[[Arkansas River, United States|river]]","Arkansas River, United States",river,place
28690,"[[Arkansas River, United States|Arkansaw River]]","Arkansas River, United States",Arkansaw River,place
28691,"[[Mississippi River, United States|Mississippi River]]","Mississippi River, United States",Mississippi River,place
28694,"[[Arkansas River, United States|River]] in. Crossed the Arkansaw river. Spent the night at Mr [[John Morse|John Morse]]","Arkansas River, United States",River]] in. Crossed the Arkansaw river. Spent the night at Mr [[John Mor,place
28719,"[[Fitzroy Square, London, Middlesex, England|Fitzroy square]]","Fitzroy Square, London, Middlesex, England",Fitzroy square,place
28731,"[[Fitzroy Square, London, Middlesex, England|Fitzroy Square London]]","Fitzroy Square, London, Middlesex, England",Fitzroy Square London,place
28737,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28741,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28746,"[[Woolwich, Kent, England|Woolwich]]","Woolwich, Kent, England",Woolwich,place
28747,"[[Bedford, Bedfordshire, England|Bedford]]","Bedford, Bedfordshire, England",Bedford,place
28748,"[[St Luke's, Middlesex, England|St Lukes]]","St Luke's, Middlesex, England",St Lukes,place
28750,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28757,"[[Cheltenham, Gloucestershire, England|Cheltenham]]","Cheltenham, Gloucestershire, England",Cheltenham,place
28762,"[[London, Middlesex, England|city of London]]","London, Middlesex, England",city of London,place
28764,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28766,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28771,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
28773,"[[Beulah Thompson Woodruff, b. 1782|Bulah Woodruff]]","Beulah Thompson Woodruff, b. 1782",Bulah Woodruff,place
28775,"[[Asahel Hart Woodruff, b. 1814|Asahel H. Woodruff]]","Asahel Hart Woodruff, b. 1814",Asahel H. Woodruff,place
28776,"[[Josiah Woodruff, b. 1706|Josiah Woodruff]]","Josiah Woodruff, b. 1706",Josiah Woodruff,place
28778,"[[Eldad Woodruff, b. 1747|Eldad Woodruff]]","Eldad Woodruff, b. 1747",Eldad Woodruff,place
28780,"[[Samuel Thompson, b. 1709|Thompson]]","Samuel Thompson, b. 1709",Thompson,place
28782,"[[Lot Thompson, b. 1752|Lot Thompson]]","Lot Thompson, b. 1752",Lot Thompson,place
28783,"[[Anna Hart Thompson, b. 1756|Anna Thompson]]","Anna Hart Thompson, b. 1756",Anna Thompson,place
28784,"[[Eldad Woodruff, b. 1773|Eldad Woodruff]]","Eldad Woodruff, b. 1773",Eldad Woodruff,place
28789,"[[Mississippi River, United States|river]]","Mississippi River, United States",river,place
28791,"[[Anna Thompson, b. 1789|Amna Thompson]]","Anna Thompson, b. 1789",Amna Thompson,place
28795,"[[Nauvoo, Hancock County, Illinois|Nauvoo]]","Nauvoo, Hancock County, Illinois",Nauvoo,place
28796,"[[Asahel Hart, b. 1754|Asahel Hart]]","Asahel Hart, b. 1754",Asahel Hart,place
28799,"[[Asahel Hart, b. 1784|Asahel Hart]]","Asahel Hart, b. 1784",Asahel Hart,place
28800,"[[Joseph Hart, b. 1787|Joseph Hart]]","Joseph Hart, b. 1787",Joseph Hart,place
28801,"[[Sophrona Hart, b. 1794|Sophrona Hart]]","Sophrona Hart, b. 1794",Sophrona Hart,place
28813,"[[Nauvoo Temple, Nauvoo, Hancock County, Illinois|Temple]]","Nauvoo Temple, Nauvoo, Hancock County, Illinois",Temple,place
28814,"[[Ezra Carter, b. 1738|Ezra Carter]]","Ezra Carter, b. 1738",Ezra Carter,place
28815,"[[Phoebe Whittemore Carter, b. 1735|Phebe W. Carter]]","Phoebe Whittemore Carter, b. 1735",Phebe W. Carter,place
28817,"[[Sarah Brackett Fabyan, b. 1740|Sarah Fabyan]]","Sarah Brackett Fabyan, b. 1740",Sarah Fabyan,place
28818,"[[John Fabyan, b. 1766|John Fabyan]]","John Fabyan, b. 1766",John Fabyan,place
28819,"[[Sally Brackett Fabyan, b. 1770|Sally Fabyan]]","Sally Brackett Fabyan, b. 1770",Sally Fabyan,place
28821,"[[Joseph Fabyan, b. abt 1775|Joseph Fabyan]]","Joseph Fabyan, b. abt 1775",Joseph Fabyan,place
28832,"[[Ezra Carter, b. 1804|Ezra Carter]]","Ezra Carter, b. 1804",Ezra Carter,place
28840,"[[Mississippi River, United States|Mississippi River]]","Mississippi River, United States",Mississippi River,place
28842,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
28844,"[[Portland, Cumberland County, Maine|Portland]]","Portland, Cumberland County, Maine",Portland,place
28845,"[[Cincinnati, Hamilton County, Ohio|Cincinnati]]","Cincinnati, Hamilton County, Ohio",Cincinnati,place
28846,"[[Washington, D.C., United States|Washington]]","Washington, D.C., United States",Washington,place
28848,"[[London, Middlesex, England|LONDON]]","London, Middlesex, England",LONDON,place
28850,"[[St. Albans, Hertfordshire, England|St Alb[an]s]]","St. Albans, Hertfordshire, England",St Alb[an]s,place
28851,"[[London, Middlesex, England|London]]","London, Middlesex, England",London,place
28852,"[[Newcastle upon Tyne, Northumberland, England|New Castle upon Tine]]","Newcastle upon Tyne, Northumberland, England",New Castle upon Tine,place
28854,"[[Paris, France|Paris]]","Paris, France",Paris,place
28855,"[[London, Middlesex, England|London]] in to the [[River Thames, England|River Thames]]","London, Middlesex, England","London]] in to the [[River Thames, Engla",place
28856,"[[Philadelphia, Philadelphia County, Pennsylvania|Philadelphia]]","Philadelphia, Philadelphia County, Pennsylvania",Philadelphia,place
28857,"[[Marylebone, Middlesex, England|Marylebone]]","Marylebone, Middlesex, England",Marylebone,place
28858,"[[Salt River, Missouri|Salt River]]","Salt River, Missouri",Salt River,place
28864,"[[Hill Cumorah, Manchester, Ontario County, New York|hill Camorah]]","Hill Cumorah, Manchester, Ontario County, New York",hill Camorah,place
28866,"[[Kirtland, Geauga County, Ohio|Kirtland]] for [[Missouri|Missouri]]","Kirtland, Geauga County, Ohio",Kirtland]] for [[Missou,place
